Province Code|Province Name|Regency/Municipality Code|Regency/Municipality Name|District Code|District Name|Village Code|Village Name|Population
||||||041|PERTABAS|379
||||||042|KUTA TINGGI|607
||||||043|LAE NIPE|191
||||||044|PAKIRAMAN|198
||||||048|LAE GAMBIR|239
||||||049|KUTA BATU|68
||||||050|GUHA|103
||||||051|LIPAT KAJANG ATAS|1001
||||||052|SIDODADI|343
||||||053|PANDAN SARI|651
||||031|GUNUNG MERIAH|001|PERTAMPAKAN|229
||||||002|TANAH MERAH|1056
||||||003|SEBATANG|346
||||||004|SEPING BARU|187
||||||005|PERANGUSAN|431
||||||006|GUNUNG LAGAN|2170
||||||007|TANAH BARA|1925
||||||008|SUKA MAKMUR|1356
||||||009|SIDOREJO|2582
||||||010|PANDAN SARI|1753
||||||011|BLOK 31|280
||||||012|BLOK 18|462
||||||013|SANGGABERU SILULUSAN|1208
||||||014|BLOK 15|1641
||||||015|TULAAN|1954
||||||016|BLOK VI BARU|2168
||||||017|TUNAS HARAPAN|838
||||||018|LAE BUTAR|2304
||||||019|RIMO|2852
||||||020|SIANJO ANJO MERIAH|1538
||||||021|CINGKAM|469
||||||022|BUKIT HARAPAN|2424
||||||023|PENJAHITAN|159
||||||024|TANJUNG BETIK|190
||||||025|LABUHAN KERA|108
||||032|DANAU PARIS|001|SITUBAN MAKMUR|3258
||||||002|LAE BALNO|574
||||||003|SIKORAN|350
||||||004|NAPA GALUH|462
||||||005|BISKANG|1151
||||||006|SITUBUH-TUBUH|487
||||||007|DANAU PINANG|340
||||033|SURO|001|MANDUMPANG|1253
||||||002|ALUR LINCI|205
||||||003|SIRIMO MUNGKUR|397
||||||004|KERAS|659
||||||005|KETANGKUHAN|283
||||||006|SIOMPIN|1595
||||||007|BULU ARA|332
||||||008|LAE BANGUN|551
||||||009|BULU SEMA|1121
||||||010|PANGKALAN SILUMPI|428
||||||011|SURO BARU|387
||||||012|LAE CIKALA|348
||||042|SINGKOHOR|001|SRI KAYU|1207
||||||002|PEA JAMBU|392
||||||003|LAE PINANG|1311
||||||004|SINGKOHOR|1663
||||||005|MUKTI HARAPAN|171
||||||006|MUKTI JAYA|413
||||||007|LAE SIPOLA|152
||||043|KOTA BAHARU|001|MUARA PEA|279
||||||002|SUMBER MUKTI|1209
||||||003|LADANG BISIK|367
||||||004|SAMAR DUA|1045
||||||005|BUTAR|522
||||||006|MUKTI LINCIR|384
||||||007|LAPAHAN BUAYA|356
||||||008|LENTONG|497
||||||009|DANAU BUNGARA|1013
||||||010|SELAKAR UDANG|48
||03|ACEH SELATAN|010|TRUMON|001|KUTA PADANG|446
||||||002|RAKET|190
||||||004|TEPIN TINGGI|486
||||||005|IE MEUDAMA|195
||||||009|UJONG TAN0H|611
||||||010|KEUDE TRUMON|943
||||||011|KUTA BARU|187
||||||012|SINGLENG|431
||||||013|PANTON BILI|221
||||||014|GUNONG KAPHO|394
||||||015|GAMPONG TEUNGOH|178
||||||016|KRUENG BATEE|432
||||||017|PULO PAYA|545
||||||027|UPT II PD HARAPAN|192
