Province Code|Province Name|Regency/Municipality Code|Regency/Municipality Name|District Code|District Name|Village Code|Village Name|Population
||||||013|JERUK|2023
||||||014|BELULUK|3955
||||||015|BATU BELUBANG|3275
||||||016|PEDINDANG|2571
||||021|NAMANG|001|BELILIK|2099
||||||002|NAMANG|2316
||||||003|JELUTUNG|2507
||||||004|CAMBAI|2753
||||||005|KAYU BESI|1486
||||||006|BUKIT KIJANG|959
||||||007|BASKARA BAKTI|1792
||||030|SUNGAI SELAN|001|SUNGAI SELAN|7242
||||||002|LAMPUR|4121
||||||003|KERANTAI|849
||||||008|KERETAK|4257
||||||009|SARANGMANDI|3055
||||||010|MUNGGU|2196
||||||011|KEMINGKING|1906
||||||012|SUNGAI SELAN ATAS|2386
||||||013|RAMADHON|1756
||||||014|KERAKAS|1174
||||||015|TANJUNGPURA|1106
||||040|SIMPANG KATIS|001|SUNGKAP|2416
||||||002|CELUAK|2081
||||||003|PUPUT|2345
||||||004|SIMPANG KATIS|2472
||||||005|TERU|2403
||||||006|BERUAS|1849
||||||007|TERAK|4548
||||||008|PASIR GARAM|1900
||||||009|PINANG SEBATANG|1169
||||||010|KATIS|1092
||05|BANGKA SELATAN|010|PAYUNG|005|BEDENGUNG|2139
||||||006|IRAT|1217
||||||007|SENGIR|1272
||||||008|PAYUNG|4186
||||||009|NADUNG|1299
||||||010|RANGGUNG|2834
||||||017|PANGKALBULUH|2493
||||||018|MALIK|1254
||||||020|PAKU|1920
||||011|PULAU BESAR|001|BATU BETUMPANG|2840
||||||002|PANCA TUNGGAL|1048
||||||003|FAJAR INDAH|1945
||||||004|SUKAJAYA|906
||||||005|SUMBER JAYA PERMAI|1442
||||020|SIMPANG RIMBA|001|JELUTUNG II|4729
||||||002|GUDANG|1732
||||||003|SEBAGIN|2061
||||||004|RAJIK|3854
||||||005|SIMPANG RIMBA|1784
||||||006|BANGKA KOTA|3111
||||||007|PERMIS|3925
||||030|TOBOALI|001|RIAS|6911
||||||002|TELADAN|13590
||||||003|TANJUNG KETAPANG|10148
||||||004|TOBOALI|13509
||||||008|KAPOSANG|3931
||||||009|GADUNG|6336
||||||010|BIKANG|1352
||||||011|JERIJI|2323
||||||012|SERDANG|3731
||||||013|RINDIK|1162
||||||014|KEPOH|2145
||||031|TUKAK SADAI|001|SADAI|2077
||||||002|PASIR PUTIH|3298
||||||003|TUKAK|864
||||||004|TIRAM|1667
||||||005|BUKIT TERAP|2039
||||040|AIR GEGAS|001|PERGAM|2511
||||||002|BENCAH|5366
||||||003|TEPUS|2957
||||||004|AIRGEGAS|4316
||||||005|DELAS|4638
||||||006|SIDOHARJO|3387
||||||007|NYELANDING|4321
||||||008|NANGKA|3273
||||||009|RANGGAS|3564
||||||010|AIR BARA|3415
||||050|LEPAR PONGOK|001|PENUTUK|2313
||||||002|TANJUNGLABU|2022
||||||003|PONGOK|3357
||||||004|TANJUNG SANGKAR|2183
||||||005|KUMBUNG|509
||||||006|CELAGEN|1322
||06|BELITUNG TIMUR|010|DENDANG|004|DENDANG|1504
||||||005|JANGKANG|3118
||||||006|NYURUK|2861
||||||008|BALOK|1863
||||011|SIMPANG PESAK|001|TANJUNG KELUMPANG|1869
||||||002|TANJUNG BATU ITAM|1542
||||||003|DUKONG|768
||||||004|SIMPANG PESAK|3201
||||020|GANTUNG|001|LILANGAN|2869
||||||002|JANGKAR ASAM|1426
||||||003|GANTUNG|4463
||||||004|SELINGSING|4450
||||||008|LIMBONGAN|1304
||||||009|BATU PENYU|4238
||||||010|LENGGANG|3690
||||021|SIMPANG RENGGIANG|001|LINTANG|2714
||||||002|AIK MADU|858
||||||003|RENGGIANG|1630
||||||004|SIMPANG TIGA|1427
||||030|MANGGAR|001|KELUBI|2337
||||||002|PADANG|5276
||||||003|LALANG|4269
||||||004|LALANG JAYA|2971
||||||005|KURNIA JAYA|5130
||||||006|BARU|8432
||||||010|BUKU LIMAU|799
||||||011|BENTAIAN JAYA|1308
||||||012|MEKAR JAYA|2844
||||031|DAMAR|001|SUKAMANDI|3132
||||||002|MENGKUBANG|2612
||||||003|BURUNG MANDI|1298
||||||004|MEMPAYA|2207
||||||005|AIR KELIK|1861
||||040|KELAPA KAMPIT|001|CENDIL|1365
||||||002|BUDING|2576
||||||003|MENTAWAK|3284
||||||004|SENYUBUK|3810
||||||005|MAYANG|2471
||||||007|PEMBAHARUAN|2686
||71|PANGKAL PINANG|010|RANGKUI|001|ASAM|5157
||||||002|PARIT LALANG|6080
||||||004|BINTANG|3014
||||||006|PASIR PUTIH|4662
||||||009|MELINTANG|3507
||||||010|KERAMAT|9033
||||||013|MASJID JAMIK|2202
||||||014|PASAR PADI|1808
||||||015|PINTU AIR|4475
||||020|BUKIT INTAN|001|SRIWIJAYA|3690
||||||008|SEMABUNG LAMA|7182
||||||009|BACANG|7137
||||||010|AIR ITAM|13193
||||||011|BUKIT BESAR|5661
||||||012|BUKIT INTAN|2100
||||||013|SEMABUNG BARU|4362
||||030|PANGKAL BALAM|006|AMPUI|3016
||||||009|LONTONG PANCUR|5139
||||||010|PASIR GARAM|2350
||||||011|GABEK II|5221
||||||012|GABEK I|4533
||||||013|SELINDUNG BARU|3628
||||||014|AIR SALEMBA|3890
||||||015|REJOSARI|3989
||||||016|KETAPANG|4537
||||||017|SELINDUNG|4752
||||040|TAMAN SARI|019|BATIN TIKAL|2699
||||||020|RAWA BANGUN|2848
||||||021|GEDUNG NASIONAL|3349
||||||022|OPAS INDAH|4221
||||041|GERUNGGANG|001|KACANG PEDANG KEJAKSAAN|6575
||||||002|KACANG PEDANG|6566
||||||003|TUATUNU|7076
||||||004|BUKIT MERAPIN|8113
||||||005|BUKIT SARI|4823
||||||006|TAMAN BUNGA|4170
21|KEPULAUAN RIAU|01|KARIMUN|010|MORO|003|MORO|7405
||||||004|PAUH|1192
||||||005|SUGIE|1791
||||||006|KEBAN|2518
||||||007|SELAT MIE|2071
||||||008|TANJUNG PELANDUK|744
||||||009|JANG|1791
||||011|DURAI|001|DURAI|1843
||||||002|SANGLAR|1556
||||||003|SEMEMBANG|1097
||||||004|TANJUNG KILANG|1325
||||020|KUNDUR|001|TANJUNG BATU BARAT|6161
||||||002|TANJUNG BATU KOTA|14787
||||||003|ALAI|2503
||||||004|SUNGAI SEBESI|2534
||||||005|SUNGAI UNGAR|2949
||||||006|LUBUK|2236
||||||007|BATU LIMAU|2060
||||||008|NGAL|648
||||021|KUNDUR UTARA|001|SUNGAI UNGAR UTARA|2082
||||||002|LEBUH|1734
||||||003|PENARAH|1328
||||||004|SEBELE|1827
||||||005|URUNG|3721
||||||006|TELUK RADANG|2787
||||||007|URUNG BARAT|2366
||||||008|SUNGAI ASAM|1221
||||022|KUNDUR BARAT|001|SAWANG|4404
||||||002|SAWANG SELATAN|3025
||||||003|SAWANG LAUT|2497
||||||004|KUNDUR|2837
||||||005|GEMURUH|3383
||||030|KARIMUN|004|PARIT|2349
||||||005|TULANG|1062
||||||006|TANJUNG BALAI KARIMUN|10084
||||||007|TELUK AIR|6585
||||||008|SUNGAI LAKAM|17603
||||||009|LUBUK SEMUT|4918
||||031|BURU|001|TANJUNG HUTAN|1624
||||||002|BURU|2887
||||||003|LUBUK PUDING|3043
||||||004|TANJUNG BATU KECIL|1413
||||032|MERAL|001|MERAL KOTA|15010
||||||002|BARAN|13104
||||||003|SUNGAI RAYA|8808
||||||004|PASIR PANJANG|3719
||||||005|PANGKE|3986
||||033|TEBING|001|TEBING|4738
||||||002|TELUK UMA|5218
||||||004|KAPLING|4231
||||||005|PAMAK|3922
||||||006|HARJOSARI|2746
||||||007|DARUSALAM|2926
||||||008|PONGKAR|2162
||02|BINTAN|040|TELUK BINTAN|001|PANGKIL|1248
||||||002|PENGUJAN|1220
||||||003|PENAGA|1547
||||||004|TEMBELING|909
||||||005|BINTAN BUYU|2074
||||||006|TEMBELING TANJUNG|1936
||||050|BINTAN UTARA|003|LANCANG KUNING|1252
||||||004|TANJUNG UBAN SELATAN|6100
||||||005|TANJUNG UBAN KOTA|8624
||||||006|TANJUNG UBAN UTARA|4251
||||||009|TANJUNG UBAN TIMUR|966
||||051|TELUK SEBONG|001|SEBONG PEREH|3086
||||||002|SEBONG LAGOI|4634
||||||003|EKANG ANCULAI|1911
||||||004|SRI BINTAN|1863
||||||005|PENGUDANG|773
||||||006|BERAKIT|1687
||||||007|KOTA BARU|2065
||||052|SERI KUALA LOBAM|001|KUALA SEMPANG|1339
||||||002|BUSUNG|1062
||||||003|TELUK SASAH|6490
||||||004|TELUK LOBAM|5816
||||||005|TANJUNG PERMAI|2925
||||060|BINTAN TIMUR|005|KIJANG KOTA|26441
||||||006|SUNGAI ENAM|1809
||||||007|GUNUNG LENGKUAS|5004
||||||008|SUNGAI LEKOP|5752
||||061|GUNUNG KIJANG|001|GUNUNG KIJANG|2364
||||||003|KAWAL|5717
||||||004|TELUK BAKAU|2044
||||||005|MALANG RAPAT|1882
||||062|MANTANG|001|MANTANG LAMA|781
||||||002|MANTANG BESAR|1336
||||||003|MANTANG BARU|844
||||||004|DENDUN|935
||||063|BINTAN PESISIR|001|MAPUR|904
||||||002|NUMBING|3840
||||||003|KELONG|2441
||||||004|AIR GLUBI|820
||||064|TOAPAYA|001|TOAPAYA UTARA|1346
||||||002|TOAPAYA|1009
||||||003|TOAPAYA ASRI|4113
||||||004|TOAPAYA SELATAN|4165
||||070|TAMBELAN|001|PULAU PINANG|135
||||||002|PULAU MENTEBUNG|303
||||||003|KAMPUNG MELAYU|629
||||||004|KAMPUNG HILIR|1502
||||||005|TELUK SEKUNI|844
||||||006|BATU LEPUK|584
||||||007|KUKUP|830
||||||008|PENGIKIK|148
||03|NATUNA|030|MIDAI|001|SEBELAT|472
||||||002|BATU BELANAK|494
||||||003|SABANG BARAT|2567
||||||004|GUNUNG JAMBAT|633
||||||005|AIR PUTIH|406
||||||006|AIR KUMPAI|435
||||040|BUNGURAN BARAT|004|SEDANAU TIMUR|304
||||||005|SEDARAT BARU|445
||||||006|BATUBI JAYA|1304
||||||007|GUNUNG PUTRI|1032
||||||008|SEDANAU|6045
||||||014|MEKAR JAYA|439
||||||015|BINJAI|619
||||||016|PIAN TENGAH|394
||||||017|SEMEDANG|311
||||041|BUNGURAN UTARA|001|KELARIK BARAT|366
||||||002|KELARIK|879
||||||003|KELARIK UTARA|778
||||||004|KELARIK AIR MALI|638
||||||005|TELUK BUTON|278
||||||006|BELAKANG GUNUNG|318
||||||007|SELUAN BARAT|231
||||||008|GUNUNG DURIAN|329
||||042|PULAU LAUT|001|AIR PAYANG|1023
||||||002|TANJUNG PALA|838
||||||003|KADUR|308
||||043|PULAU TIGA|001|SEDEDAP|328
||||||002|SABANG MAWANG|603
||||||003|PULAU TIGA|577
||||||004|TANJUNG BATANG|870
||||||005|SERANTAS|593
||||||006|SABANG MAWANG BARAT|462
||||||007|TANJUNG KUMBIK UTARA|357
||||||008|SETUMUK|310
||||||009|SELADING|372
||||||010|TELUK LABUH|354
||||050|BUNGURAN TIMUR|002|SUNGAI ULU|1452
||||||003|RANAI KOTA|12498
||||||008|SEPEMPANG|1615
||||||014|BATU GAJAH|858
||||||015|RANAI DARAT|2499
||||||016|BANDARSYAH|3878
||||051|BUNGURAN TIMUR LAUT|001|CERUK|895
||||||002|TANJUNG|749
||||||003|KELANGA|881
||||||004|PENGADAH|435
||||||005|SEBADAI HULU|360
||||||006|LIMAU MANIS|674
||||||007|SELEMAM|312
||||052|BUNGURAN TENGAH|001|HARAPAN JAYA|1157
||||||002|TAPAU|819
||||||003|AIR LENGIT|858
||||053|BUNGURAN SELATAN|001|CEMAGA|684
||||||002|CEMAGA UTARA|661
||||||003|CEMAGA SELATAN|740
||||||004|CEMAGA TENGAH|452
||||060|S E R A S A N|001|KAMPUNG HILIR|380
||||||002|SERASAN|2658
||||||005|BATU BERIAN|603
||||||006|TANJUNG SETELUNG|455
||||||007|TANJUNG BALAU|410
||||061|SUBI|001|PULAU PANJANG|481
||||||002|SUBI BESAR|283
||||||003|SUBI|501
||||||004|MELIAH|296
||||||005|TERAYAK|366
||||||006|KERDAU|211
||||||007|SUBI BESAR TIMUR|249
||||||008|MELIAH SELATAN|190
||||062|SERASAN TIMUR|001|ARUNG AYAM|812
||||||002|AIR NUSA|781
||||||003|AIR RINGAU|540
||||||004|HARAPAN BARU|598
||04|LINGGA|010|SINGKEP BARAT|001|MAROK TUA|1761
||||||002|SUNGAI BULUH|1516
||||||003|KUALA RAYA|1308
||||||004|BAKONG|2946
||||||005|POSEK|2816
||||||006|SUNGAI HARAPAN|1169
||||||007|JAGOH|577
||||||008|SUNGAI RAYA|988
||||||009|RAYA|1471
||||020|SINGKEP|002|MAROK KECIL|1396
||||||003|DABO|10388
||||||004|BERINDAT|1062
||||||005|LANJUT|893
||||||006|KOTE|1364
||||||007|BERHALA|530
||||||008|BATU BERDAUN|2896
||||||009|DABO LAMA|3528
||||||010|BATU KACANG|1477
||||||011|TANJUNG HARAPAN|2411
||||||012|SEDAMAI|702
||||030|LINGGA|001|PEKAJANG|402
||||||002|SELAYAR|699
||||||003|PENUBA|2476
||||||004|KELUMU|736
||||||005|MEPAR|888
||||||006|KELOMBOK|278
||||||007|MERAWANG|870
||||||008|DAIK|4206
||||||009|PANGGAK DARAT|531
||||||010|PANGGAK LAUT|706
||||||011|MUSAI|471
||||||012|KERANDIN|580
||||||013|PEKAKA|461
||||||014|KETON|207
||||||015|SUNGAI PINANG|907
||||||016|MENTUDA|1157
||||||017|BUKIT LANGKAP|290
||||||018|KUDUNG|786
||||040|LINGGA UTARA|001|SEKANAH|744
||||||002|DUARA|2370
||||||003|RESUN|1313
||||||004|LIMBUNG|1431
||||||005|BUKIT HARAPAN|712
||||||006|TELUK|975
||||||007|LINAU|613
||||||008|PANCUR|1543
||||050|SENAYANG|001|MAMUT|1168
||||||002|SENAYANG|4475
||||||003|REJAI|2467
||||||004|PASIR PANJANG|1558
||||||005|TEMIANG|2030
||||||006|PULAU MEDANG|1115
||||||007|TANJUNG KELIT|1287
||||||008|BATU BELUBANG|1180
||||||009|PULAU BATANG|1040
||||||010|MENSANAK|1029
||||||011|BENAN|1344
||05|KEPULAUAN ANAMBAS|010|JEMAJA|004|MAMPOK|651
||||||005|LETUNG|3054
||||||006|REWAK|674
||||||007|KERAMUT|397
||||||008|IMPOL|291
||||||009|AIR BIRU|315
||||||010|SUNGGAK|239
||||020|JEMAJA TIMUR|001|ULU MARAS|638
||||||002|KUALA MARAS|739
||||||003|BUKIT PADI|353
||||||004|GENTING PULUR|298
||||030|SIANTAN SELATAN|001|KIABU|604
||||||002|TELAGA|435
||||||003|MENGKAIT|877
||||||004|TIANGAU|774
||||||005|TELAGA KECIL|199
||||||006|LINGAI|288
||||040|SIANTAN|003|TEREMPA BARAT|3890
||||||004|TEREMPA|3556
||||||005|DESA PERSIAPAN TEREMPA SELATAN|668
||||||006|DESA PERSIAPAN TEREMPA TIMUR|1806
||||050|SIANTAN TIMUR|001|NYAMUK|1332
||||||002|BATU BELAH|1229
||||||003|MUNJAN|729
||||060|SIANTAN TENGAH|001|AIR ASUK|1221
||||||002|AIR SENA|646
||||||003|TELUK SIANTAN|888
||||070|PAL MATAK|002|TEBANG|1171
||||||003|LADAN|1730
||||||004|MUBUR|1144
||||||005|PAYALAMAN|2938
||||||008|PUTIK|1366
||||||009|BAYAT|554
||||||010|PIABUNG|816
||||||011|LANGIR|395
||||||012|CANDI|506
||71|B A T A M|010|BELAKANG PADANG|001|PULAU TERONG|3059
||||||002|PECONG|704
||||||003|KASU|3109
||||||004|PEMPING|711
||||||006|TANJUNG SARI|5505
||||||007|SEKANAK RAYA|5420
||||020|BULANG|001|PANTAI GELAM|878
||||||002|TEMOYONG|1319
||||||003|PULAU SETOKOK|2374
||||||004|BATU LEGONG|1324
||||||005|BULANG LINTANG|1375
||||||006|PULAU BULUH|2261
||||030|GALANG|001|PULAU ABANG|1531
||||||002|KARAS|2353
||||||003|SIJANTUNG|1580
||||||004|SEMBULANG|2570
||||||005|REMPANG CATE|2983
||||||006|SUBANG MAS|682
||||||007|GALANG BARU|2681
||||||008|AIR RAJA|603
||||040|SEI BEDUK|003|TANJUNG PIAYU|10694
||||||004|MUKA KUNING|21710
||||||005|DURIANGKANG|16217
||||||006|MANGSANG|31728
||||041|SAGULUNG|001|TEMBESI|27462
||||||002|SUNGAI BINTI|25834
||||||003|SUNGAI LEKOP|13667
||||||004|SAGULUNG KOTA|30466
||||||005|SUNGAI LANGKAI|35648
||||||006|SUNGAI PELUNGGUT|16650
||||050|NONGSA|001|NGENANG|1041
||||||002|KABIL|20451
||||||003|BATU BESAR|20554
||||||008|SAMBAU|7782
||||051|BATAM KOTA|001|TAMAN BALOI|25568
||||||002|BALOI PERMAI|37675
||||||003|BELIAN|50889
||||||004|TELUK TERING|16322
||||||005|SUNGAI PANAS|25873
||||||006|SUKAJADI|5911
||||060|SEKUPANG|002|TANJUNG RIAU|13045
||||||003|TIBAN BARU|23250
||||||004|TIBAN LAMA|15503
||||||005|TIBAN INDAH|14388
||||||006|PATAM LESTARI|15224
||||||007|SUNGAI HARAPAN|14220
||||||008|TANJUNG PINGGIR|4478
||||061|BATU AJI|001|TANJUNG UNCANG|33617
||||||002|BUKIT TEMPAYAN|17193
||||||003|BULIANG|47010
||||||004|KIBING|29635
||||070|LUBUK BAJA|001|BALOI INDAH|22325
||||||002|BATU SELICIN|15399
||||||003|KAMPUNG PELITA|8186
||||||004|LUBUK BAJA KOTA|14672
||||||005|TANJUNG UMA|20198
||||080|BATU AMPAR|004|KAMPUNG SERAYA|13745
||||||005|SUNGAI JODOH|13129
||||||007|TANJUNG SENGKUANG|24288
||||||008|BATU MERAH|7583
||||081|BENGKONG|001|BENGKONG LAUT|19181
||||||002|BENGKONG INDAH|21124
||||||003|SADAI|25310
||||||004|TANJUNG BUNTUNG|26418
||72|TANJUNG PINANG|010|BUKIT BESTARI|001|DOMPAK|2183
||||||002|TANJUNGPINANG TIMUR|9969
||||||003|TANJUNG AYUN SAKTI|11994
||||||004|SEI JANG|16615
||||||005|TANJUNG UNGGAT|13396
||||020|TANJUNGPINANG TIMUR|001|BATU SEMBILAN|16175
||||||002|MELAYU KOTA PIRING|15963
||||||003|AIR RAJA|10132
||||||004|PINANG KENCANA|19901
||||||005|KAMPUNG BULANG|8696
||||030|TANJUNGPINANG KOTA|001|TANJUNGPINANG KOTA|4878
||||||002|PENYENGAT|2185
||||||003|KAMPUNG BUGIS|6894
||||||004|SENGGARANG|3069
||||040|TANJUNGPINANG BARAT|001|TANJUNGPINANG BARAT|16033
||||||002|KEMBOJA|11324
||||||003|KAMPUNG BARU|10200
||||||004|BUKIT CERMIN|7752
31|DKI JAKARTA|01|KEPULAUAN SERIBU|010|KEPULAUAN SERIBU SELATAN|001|PULAU TIDUNG|4148
||||||002|PULAU PARI|2458
||||||003|PULAU UNTUNG JAWA|1726
||||020|KEPULAUAN SERIBU UTARA|001|PULAU PANGGANG|5123
||||||002|PULAU KELAPA|5557
||||||003|PULAU HARAPAN|2070
||71|JAKARTA SELATAN|010|JAGAKARSA|001|CIPEDAK|38561
||||||002|SRENGSENG SAWAH|60936
||||||003|CIGANJUR|39228
||||||004|JAGAKARSA|69715
||||||005|LENTENG AGUNG|59735
||||||006|TANJUNG BARAT|42045
||||020|PASAR MINGGU|001|CILANDAK TIMUR|28462
||||||002|RAGUNAN|42646
||||||003|KEBAGUSAN|46323
||||||004|PASAR MINGGU|27115
||||||005|JATI PADANG|39981
||||||006|PEJATEN BARAT|40490
||||||007|PEJATEN TIMUR|62714
||||030|CILANDAK|001|LEBAK BULUS|38284
||||||002|PONDOK LABU|42667
||||||003|CILANDAK BARAT|55694
||||||004|GANDARIA SELATAN|24118
||||||005|CIPETE SELATAN|28643
||||040|PESANGGRAHAN|001|BINTARO|50662
||||||002|PESANGGRAHAN|24392
||||||003|ULUJAMI|42455
||||||004|PETUKANGAN SELATAN|36252
||||||005|PETUKANGAN UTARA|58000
||||050|KEBAYORAN LAMA|001|PONDOK PINANG|66418
||||||002|KEBAYORAN LAMA SELATAN|42679
||||||003|KEBAYORAN LAMA UTARA|42422
||||||004|CIPULIR|40907
||||||005|GROGOL SELATAN|49460
||||||006|GROGOL UTARA|51760
||||060|KEBAYORAN BARU|001|GANDARIA UTARA|40023
||||||002|CIPETE UTARA|38224
||||||003|PULO|6999
||||||004|PETOGOGAN|10814
||||||005|MELAWAI|3425
||||||006|KRAMAT PELA|13908
||||||007|GUNUNG|10529
||||||008|SELONG|5116
||||||009|RAWA BARAT|7004
||||||010|SENAYAN|5672
||||070|MAMPANG PRAPATAN|001|BANGKA|24740
||||||002|PELA MAMPANG|48316
||||||003|TEGAL PARANG|30804
||||||004|MAMPANG PRAPATAN|22390
||||||005|KUNINGAN BARAT|15609
||||080|PANCORAN|001|KALIBATA|44161
||||||002|RAWAJATI|17460
||||||003|DUREN TIGA|29848
||||||004|PANCORAN|22947
||||||005|PENGADEGAN|22980
||||||006|CIKOKO|10576
||||090|TEBET|001|MENTENG DALAM|41788
||||||002|TEBET BARAT|22332
||||||003|TEBET TIMUR|18969
||||||004|KEBON BARU|35909
||||||005|BUKIT DURI|37189
||||||006|MANGGARAI SELATAN|23319
||||||007|MANGGARAI|29535
||||100|SETIA BUDI|001|KARET SEMANGGI|3738
||||||002|KUNINGAN TIMUR|11574
||||||003|KARET KUNINGAN|25606
||||||004|KARET|13693
||||||005|MENTENG ATAS|35986
||||||006|PASAR MANGGIS|27878
||||||007|GUNTUR|4864
||||||008|SETIA BUDI|5543
||72|JAKARTA TIMUR|010|PASAR REBO|001|PEKAYON|43106
||||||002|KALISARI|41497
||||||003|BARU|23400
||||||004|CIJANTUNG|42736
||||||005|GEDONG|38493
||||020|CIRACAS|001|CIBUBUR|66201
||||||002|KELAPA DUA WETAN|44919
||||||003|CIRACAS|65638
||||||004|SUSUKAN|38817
||||||005|RAMBUTAN|36182
||||030|CIPAYUNG|001|PONDOK RANGGON|23579
||||||002|CILANGKAP|24916
||||||003|MUNJUL|23040
||||||004|CIPAYUNG|24964
||||||005|SETU|20038
||||||006|BAMBU APUS|27221
||||||007|CEGER|20247
||||||008|LUBANG BUAYA|64531
||||040|MAKASAR|001|PINANG RANTI|26837
||||||002|MAKASAR|35228
||||||003|KEBON PALA|46596
||||||004|HALIM PERDANA KUSUMAH|32899
||||||005|CIPINANG MELAYU|44270
||||050|KRAMAT JATI|001|BALE KAMBANG|34201
||||||002|BATU AMPAR|53514
||||||003|KAMPUNG TENGAH|50530
||||||004|DUKUH|26824
||||||005|KRAMAT JATI|33181
||||||006|CILILITAN|41911
||||||007|CAWANG|32318
||||060|JATINEGARA|001|BIDARA CINA|33729
||||||002|CIPINANG CEMPEDAK|31768
||||||003|CIPINANG BESAR SELATAN|36057
||||||004|CIPINANG MUARA|58395
||||||005|CIPINANG BESAR UTARA|53387
||||||006|RAWA BUNGA|21252
||||||007|BALI MESTER|8886
||||||008|KAMPUNG MELAYU|23260
||||070|DUREN SAWIT|001|PONDOK BAMBU|67664
||||||002|DUREN SAWIT|68233
||||||003|PONDOK KELAPA|76431
||||||004|PONDOK KOPI|37076
||||||005|MALAKA JAYA|28672
||||||006|MALAKA SARI|27449
||||||007|KLENDER|79223
||||080|CAKUNG|001|JATINEGARA|103080
||||||002|PENGGILINGAN|101157
||||||003|PULO GEBANG|101483
||||||004|UJUNG MENTENG|31131
||||||005|CAKUNG TIMUR|66992
||||||006|CAKUNG BARAT|70769
||||||007|RAWA TERATE|29234
||||090|PULO GADUNG|001|PISANGAN TIMUR|41388
||||||002|CIPINANG|37889
||||||003|JATINEGARA KAUM|24043
||||||004|JATI|34650
||||||005|RAWAMANGUN|38947
||||||006|KAYU PUTIH|47307
||||||007|PULO GADUNG|38104
||||100|MATRAMAN|001|KEBON MANGGIS|15297
||||||002|PAL MERIEM|18536
||||||003|PISANGAN BARU|29596
||||||004|KAYU MANIS|23761
||||||005|UTAN KAYU SELATAN|36396
||||||006|UTAN KAYU UTARA|24820
||73|JAKARTA PUSAT|010|TANAH ABANG|001|GELORA|3004
||||||002|BENDUNGAN HILIR|21070
||||||003|KARET TENGSIN|23326
||||||004|KEBON MELATI|33382
||||||005|PETAMBURAN|31829
||||||006|KEBON KACANG|20661
||||||007|KAMPUNG BALI|11187
||||020|MENTENG|001|MENTENG|24342
||||||002|PEGANGSAAN|20557
||||||003|CIKINI|7261
||||||004|GONDANGDIA|4508
||||||005|KEBON SIRIH|11641
||||030|SENEN|001|KENARI|7868
||||||002|PASEBAN|21157
||||||003|KRAMAT|25664
||||||004|KWITANG|14306
||||||005|SENEN|8965
||||||006|BUNGUR|16580
||||040|JOHAR BARU|001|JOHAR BARU|38003
||||||002|KAMPUNG RAWA|21203
||||||003|TANAH TINGGI|40078
||||||004|GALUR|16977
||||050|CEMPAKA PUTIH|001|RAWA SARI|23794
||||||002|CEMPAKA PUTIH TIMUR|23822
||||||003|CEMPAKA PUTIH BARAT|37234
||||060|KEMAYORAN|001|HARAPAN MULYA|23130
||||||002|CEMPAKA BARU|31558
||||||003|SUMUR BATU|23573
||||||004|SERDANG|29483
||||||005|UTAN PANJANG|28328
||||||006|KEBON KOSONG|40804
||||||007|KEMAYORAN|18119
||||||008|GUNUNG SAHARI SELATAN|20336
||||070|SAWAH BESAR|001|PASAR BARU|12345
||||||002|GUNUNG SAHARI UTARA|16792
||||||003|KARTINI|21052
||||||004|KARANG ANYAR|26923
||||||005|MANGGA DUA SELATAN|23689
||||080|GAMBIR|001|CIDENG|15589
||||||002|PETOJO SELATAN|12459
||||||003|GAMBIR|2750
||||||004|KEBON KELAPA|9690
||||||005|PETOJO UTARA|15615
||||||006|DURI PULO|22319
||74|JAKARTA BARAT|010|KEMBANGAN|001|JOGLO|43499
||||||002|SRENGSENG|46795
||||||003|MERUYA SELATAN|36762
||||||004|MERUYA UTARA|48372
||||||005|KEMBANGAN SELATAN|32683
||||||006|KEMBANGAN UTARA|63874
||||020|KEBON JERUK|001|SUKABUMI SELATAN|42152
||||||002|SUKABUMI UTARA|40864
||||||003|KELAPA DUA|26715
||||||004|KEBON JERUK|63113
||||||005|DURI KEPA|62876
||||||006|KEDOYA SELATAN|37695
||||||007|KEDOYA UTARA|59888
||||030|PALMERAH|001|PALMERAH|69391
||||||002|SLIPI|17850
||||||003|KEMANGGISAN|33202
||||||004|KOTA BAMBU UTARA|24721
||||||005|KOTA BAMBU SELATAN|23202
||||||006|JATI PULO|30355
||||040|GROGOL PETAMBURAN|001|TANJUNG DUREN UTARA|20879
||||||002|TANJUNG DUREN SELATAN|29032
||||||003|TOMANG|34194
||||||004|GROGOL|22012
||||||005|JELAMBAR|35836
||||||006|WIJAYA KESUMA|41604
||||||007|JELAMBAR BARU|38781
||||050|TAMBORA|001|KALIANYAR|27679
||||||002|DURI SELATAN|18054
||||||003|TANAH SEREAL|29684
||||||004|DURI UTARA|23000
||||||005|KRENDANG|19000
||||||006|JEMBATAN BESI|31335
||||||007|ANGKE|29017
||||||008|JEMBATAN LIMA|20828
||||||009|TAMBORA|11129
||||||010|ROA MALAKA|3133
||||||011|PEKOJAN|24115
||||060|TAMAN SARI|001|KRUKUT|20929
||||||002|MAPHAR|16488
||||||003|TAMAN SARI|15161
||||||004|TANGKI|12990
||||||005|MANGGA BESAR|7341
||||||006|KEAGUNGAN|18373
||||||007|GLODOK|7466
||||||008|PINANGSIA|10808
||||070|CENGKARENG|001|DURI KOSAMBI|86352
||||||002|RAWA BUAYA|71231
||||||003|KEDAUNG KALI ANGKE|36821
||||||004|KAPUK|160083
||||||005|CENGKARENG TIMUR|87293
||||||006|CENGKARENG BARAT|72140
||||080|KALI DERES|001|SEMANAN|76395
